id,language,code,error,stack_trace,bug_type,severity,root_cause,fix
117,python,if (user.role === 'admin') { grantAccess(); },Unauthorized users are able to access admin routes,,Authentication Error,CRITICAL,Role check is done only on the client; the server does not verify it.,Enforce role-based access control on the server/API layer as well.
118,javascript,"arr = [1, 2, 3]
print(arr[5])",IndexError: list index out of range,"File ""main.py"", line 2, in <module>
    print(arr[5])
IndexError: list index out of range",Runtime Error,HIGH,Accessing an index beyond the length of the list.,"Add a bounds check before indexing, e.g. if len(arr) > 5."
119,python,"arr = [1, 2, 3]
print(arr[5])",IndexError: list index out of range,"File ""main.py"", line 2, in <module>
    print(arr[5])
IndexError: list index out of range",Runtime Error,MEDIUM,Accessing an index beyond the length of the list.,"Add a bounds check before indexing, e.g. if len(arr) > 5."
120,javascript,if (user.role === 'admin') { grantAccess(); },Unauthorized users are able to access admin routes,,Authentication Error,CRITICAL,Role check is done only on the client; the server does not verify it.,Enforce role-based access control on the server/API layer as well.
121,typescript,"headers = {'Authorization': f'Bearer {token}'}
resp = requests.get(url, headers=headers)",401 Unauthorized: Invalid or expired token,,Authentication Error,MEDIUM,"The auth token is missing, malformed, or has expired.",Refresh the token before the request and handle 401 by re-authenticating.
122,java,"conn = psycopg2.connect(host='localhost', dbname='app')",OperationalError: could not connect to server,OperationalError: could not connect to server: Connection refused,Database Error,HIGH,The database server is not running or the connection details are wrong.,Confirm the DB service is running and connection parameters are correct.
123,typescript,"import pandas as pd
df = pd.read_csv('data.csv')",ModuleNotFoundError: No module named 'pandas',"File ""main.py"", line 1, in <module>
ModuleNotFoundError: No module named 'pandas'",Import/Dependency Error,LOW,The pandas package is not installed in the current environment.,"Run: pip install pandas, or add it to requirements.txt."
124,python,DATABASE_URL = 'postgres://localhost/dev_db',Production app fails: connects to dev database instead of prod,,Configuration Error,HIGH,Hard-coded configuration value not overridden per environment.,Load DATABASE_URL from environment-specific config/secret manager.
125,python,"def add(a, b)
    return a + b",SyntaxError: expected ':',"File ""main.py"", line 1
    def add(a, b)
SyntaxError: expected ':'",Syntax Error,LOW,Missing colon at the end of the function definition line.,"Add a colon after the function signature: def add(a, b):"
126,typescript,let total = '5' * 'a';,"Result is NaN instead of throwing, causing downstream failures",,Type Error,HIGH,Multiplying a numeric string by a non-numeric string yields NaN silently.,Validate and parse inputs with Number() before arithmetic.
127,python,SELECT * FROM orders WHERE customer_id = 123,Query takes 8 seconds on a 10M row table,,Performance Error,MEDIUM,Missing index on the customer_id column causes a full table scan.,Add an index: CREATE INDEX idx_orders_customer_id ON orders(customer_id).
128,python,import { useState } from 'react';,Module not found: Error: Can't resolve 'react',Module not found: Error: Can't resolve 'react' in '/src',Import/Dependency Error,HIGH,The react package is missing from node_modules.,Run: npm install react react-dom.
129,javascript,"for i in range(10)
    print(i)",SyntaxError: expected ':',"File ""loop.py"", line 1
SyntaxError: expected ':'",Syntax Error,LOW,The for-loop header is missing a trailing colon.,Add a colon: for i in range(10):
130,typescript,"total = 0
for i in range(1, 10):
    total += i
print(total)",Output is 45 but expected sum 1..10 is 55,,Logic Error,LOW,"range(1, 10) excludes 10, so the loop stops one short.","Use range(1, 11) to include 10 in the sum."
131,typescript,"function isAdult(age) {
  return age > 18;
}",isAdult(18) returns false but should return true,,Logic Error,MEDIUM,Boundary condition uses '>' instead of '>=' for age 18.,Change the comparison to age >= 18.
132,typescript,"for item in large_list:
    if item in another_large_list:
        process(item)","No crash, but function takes 40+ seconds for 100k items",,Performance Error,MEDIUM,"Using 'in' on a list results in O(n) lookup, causing O(n*m) overall complexity.",Convert another_large_list to a set for O(1) average lookup time.
133,typescript,"total = 0
for i in range(1, 10):
    total += i
print(total)",Output is 45 but expected sum 1..10 is 55,,Logic Error,LOW,"range(1, 10) excludes 10, so the loop stops one short.","Use range(1, 11) to include 10 in the sum."
134,java,cursor.execute('SELECT * FROM users WHERE id = ' + user_id),psycopg2.errors.SyntaxError: syntax error at or near ...,psycopg2.errors.SyntaxError: syntax error at or near,Database Error,HIGH,Unsanitized string concatenation used to build the SQL query.,"Use parameterized queries: cursor.execute('SELECT * FROM users WHERE id = %s', (user_id,))."
135,javascript,SELECT * FROM orders WHERE customer_id = 123,Query takes 8 seconds on a 10M row table,,Performance Error,HIGH,Missing index on the customer_id column causes a full table scan.,Add an index: CREATE INDEX idx_orders_customer_id ON orders(customer_id).
136,java,DEBUG = os.environ['DEBUG'],KeyError: 'DEBUG',"File ""settings.py"", line 1, in <module>
KeyError: 'DEBUG'",Configuration Error,MEDIUM,Required environment variable DEBUG is not set.,"Use os.environ.get('DEBUG', 'False') with a sane default."
137,javascript,"x = 10
y = 0
print(x / y)",ZeroDivisionError: division by zero,"File ""main.py"", line 3, in <module>
    print(x / y)
ZeroDivisionError: division by zero",Runtime Error,MEDIUM,Dividing a number by a variable that is zero at runtime.,Check the denominator for zero before dividing.
138,java,"conn = psycopg2.connect(host='localhost', dbname='app')",OperationalError: could not connect to server,OperationalError: could not connect to server: Connection refused,Database Error,HIGH,The database server is not running or the connection details are wrong.,Confirm the DB service is running and connection parameters are correct.
139,typescript,if (user.role === 'admin') { grantAccess(); },Unauthorized users are able to access admin routes,,Authentication Error,CRITICAL,Role check is done only on the client; the server does not verify it.,Enforce role-based access control on the server/API layer as well.
140,python,"age = '25'
next_year = age + 1","TypeError: can only concatenate str (not ""int"") to str","File ""main.py"", line 2, in <module>
TypeError: can only concatenate str (not ""int"") to str",Type Error,LOW,String value used in a numeric operation without conversion.,Convert the input to an integer: next_year = int(age) + 1.
141,python,"conn = psycopg2.connect(host='localhost', dbname='app')",OperationalError: could not connect to server,OperationalError: could not connect to server: Connection refused,Database Error,HIGH,The database server is not running or the connection details are wrong.,Confirm the DB service is running and connection parameters are correct.
142,java,"import pandas as pd
df = pd.read_csv('data.csv')",ModuleNotFoundError: No module named 'pandas',"File ""main.py"", line 1, in <module>
ModuleNotFoundError: No module named 'pandas'",Import/Dependency Error,MEDIUM,The pandas package is not installed in the current environment.,"Run: pip install pandas, or add it to requirements.txt."
143,javascript,"import pandas as pd
df = pd.read_csv('data.csv')",ModuleNotFoundError: No module named 'pandas',"File ""main.py"", line 1, in <module>
ModuleNotFoundError: No module named 'pandas'",Import/Dependency Error,LOW,The pandas package is not installed in the current environment.,"Run: pip install pandas, or add it to requirements.txt."
144,python,"headers = {'Authorization': f'Bearer {token}'}
resp = requests.get(url, headers=headers)",401 Unauthorized: Invalid or expired token,,Authentication Error,MEDIUM,"The auth token is missing, malformed, or has expired.",Refresh the token before the request and handle 401 by re-authenticating.
145,javascript,let total = '5' * 'a';,"Result is NaN instead of throwing, causing downstream failures",,Type Error,HIGH,Multiplying a numeric string by a non-numeric string yields NaN silently.,Validate and parse inputs with Number() before arithmetic.
146,javascript,DEBUG = os.environ['DEBUG'],KeyError: 'DEBUG',"File ""settings.py"", line 1, in <module>
KeyError: 'DEBUG'",Configuration Error,MEDIUM,Required environment variable DEBUG is not set.,"Use os.environ.get('DEBUG', 'False') with a sane default."
147,typescript,SELECT * FROM orders WHERE customer_id = 123,Query takes 8 seconds on a 10M row table,,Performance Error,HIGH,Missing index on the customer_id column causes a full table scan.,Add an index: CREATE INDEX idx_orders_customer_id ON orders(customer_id).
148,java,"obj = None
obj.doSomething();",TypeError: Cannot read properties of null (reading 'doSomething'),"TypeError: Cannot read properties of null
    at Object.<anonymous>",Runtime Error,HIGH,Calling a method on a null/undefined object reference.,Add a null check before calling obj.doSomething().
149,python,"x = 10
y = 0
print(x / y)",ZeroDivisionError: division by zero,"File ""main.py"", line 3, in <module>
    print(x / y)
ZeroDivisionError: division by zero",Runtime Error,MEDIUM,Dividing a number by a variable that is zero at runtime.,Check the denominator for zero before dividing.
150,java,cursor.execute('SELECT * FROM users WHERE id = ' + user_id),psycopg2.errors.SyntaxError: syntax error at or near ...,psycopg2.errors.SyntaxError: syntax error at or near,Database Error,CRITICAL,Unsanitized string concatenation used to build the SQL query.,"Use parameterized queries: cursor.execute('SELECT * FROM users WHERE id = %s', (user_id,))."
151,java,"if (x > 5 {
  console.log('big');
}",SyntaxError: missing ) after condition,"SyntaxError: missing ) after condition
    at Object.compileFunction",Syntax Error,LOW,The if-condition is missing a closing parenthesis.,Close the condition properly: if (x > 5) {
152,java,"conn = psycopg2.connect(host='localhost', dbname='app')",OperationalError: could not connect to server,OperationalError: could not connect to server: Connection refused,Database Error,HIGH,The database server is not running or the connection details are wrong.,Confirm the DB service is running and connection parameters are correct.
153,javascript,cursor.execute('SELECT * FROM users WHERE id = ' + user_id),psycopg2.errors.SyntaxError: syntax error at or near ...,psycopg2.errors.SyntaxError: syntax error at or near,Database Error,CRITICAL,Unsanitized string concatenation used to build the SQL query.,"Use parameterized queries: cursor.execute('SELECT * FROM users WHERE id = %s', (user_id,))."
154,python,"for item in large_list:
    if item in another_large_list:
        process(item)","No crash, but function takes 40+ seconds for 100k items",,Performance Error,HIGH,"Using 'in' on a list results in O(n) lookup, causing O(n*m) overall complexity.",Convert another_large_list to a set for O(1) average lookup time.
155,python,"headers = {'Authorization': f'Bearer {token}'}
resp = requests.get(url, headers=headers)",401 Unauthorized: Invalid or expired token,,Authentication Error,MEDIUM,"The auth token is missing, malformed, or has expired.",Refresh the token before the request and handle 401 by re-authenticating.
156,java,fetch('/api/users').then(r => r.json()),TypeError: Failed to fetch,"TypeError: Failed to fetch
    at fetchUsers",API Error,CRITICAL,"The API endpoint is unreachable, possibly due to CORS or the server being down.",Verify the server is running and CORS headers are correctly configured.
157,java,"function isAdult(age) {
  return age > 18;
}",isAdult(18) returns false but should return true,,Logic Error,MEDIUM,Boundary condition uses '>' instead of '>=' for age 18.,Change the comparison to age >= 18.
158,javascript,let total = '5' * 'a';,"Result is NaN instead of throwing, causing downstream failures",,Type Error,MEDIUM,Multiplying a numeric string by a non-numeric string yields NaN silently.,Validate and parse inputs with Number() before arithmetic.
159,python,"conn = psycopg2.connect(host='localhost', dbname='app')",OperationalError: could not connect to server,OperationalError: could not connect to server: Connection refused,Database Error,CRITICAL,The database server is not running or the connection details are wrong.,Confirm the DB service is running and connection parameters are correct.
160,java,"if (x > 5 {
  console.log('big');
}",SyntaxError: missing ) after condition,"SyntaxError: missing ) after condition
    at Object.compileFunction",Syntax Error,MEDIUM,The if-condition is missing a closing parenthesis.,Close the condition properly: if (x > 5) {
161,python,"for item in large_list:
    if item in another_large_list:
        process(item)","No crash, but function takes 40+ seconds for 100k items",,Performance Error,HIGH,"Using 'in' on a list results in O(n) lookup, causing O(n*m) overall complexity.",Convert another_large_list to a set for O(1) average lookup time.
162,python,let total = '5' * 'a';,"Result is NaN instead of throwing, causing downstream failures",,Type Error,HIGH,Multiplying a numeric string by a non-numeric string yields NaN silently.,Validate and parse inputs with Number() before arithmetic.
163,typescript,DATABASE_URL = 'postgres://localhost/dev_db',Production app fails: connects to dev database instead of prod,,Configuration Error,CRITICAL,Hard-coded configuration value not overridden per environment.,Load DATABASE_URL from environment-specific config/secret manager.
164,java,"for i in range(10)
    print(i)",SyntaxError: expected ':',"File ""loop.py"", line 1
SyntaxError: expected ':'",Syntax Error,LOW,The for-loop header is missing a trailing colon.,Add a colon: for i in range(10):
165,java,"def add(a, b)
    return a + b",SyntaxError: expected ':',"File ""main.py"", line 1
    def add(a, b)
SyntaxError: expected ':'",Syntax Error,MEDIUM,Missing colon at the end of the function definition line.,"Add a colon after the function signature: def add(a, b):"
166,java,"function isAdult(age) {
  return age > 18;
}",isAdult(18) returns false but should return true,,Logic Error,MEDIUM,Boundary condition uses '>' instead of '>=' for age 18.,Change the comparison to age >= 18.
167,typescript,import { useState } from 'react';,Module not found: Error: Can't resolve 'react',Module not found: Error: Can't resolve 'react' in '/src',Import/Dependency Error,HIGH,The react package is missing from node_modules.,Run: npm install react react-dom.
168,java,"import pandas as pd
df = pd.read_csv('data.csv')",ModuleNotFoundError: No module named 'pandas',"File ""main.py"", line 1, in <module>
ModuleNotFoundError: No module named 'pandas'",Import/Dependency Error,LOW,The pandas package is not installed in the current environment.,"Run: pip install pandas, or add it to requirements.txt."
169,python,"import pandas as pd
df = pd.read_csv('data.csv')",ModuleNotFoundError: No module named 'pandas',"File ""main.py"", line 1, in <module>
ModuleNotFoundError: No module named 'pandas'",Import/Dependency Error,LOW,The pandas package is not installed in the current environment.,"Run: pip install pandas, or add it to requirements.txt."
170,typescript,"def is_even(n):
    return n % 2 == 1","No exception, but is_even(4) returns False incorrectly",,Logic Error,MEDIUM,The modulo condition is inverted; it checks for odd instead of even.,Change the condition to n % 2 == 0.
171,java,"function isAdult(age) {
  return age > 18;
}",isAdult(18) returns false but should return true,,Logic Error,MEDIUM,Boundary condition uses '>' instead of '>=' for age 18.,Change the comparison to age >= 18.
172,typescript,"obj = None
obj.doSomething();",TypeError: Cannot read properties of null (reading 'doSomething'),"TypeError: Cannot read properties of null
    at Object.<anonymous>",Runtime Error,HIGH,Calling a method on a null/undefined object reference.,Add a null check before calling obj.doSomething().
173,java,"def add(a, b)
    return a + b",SyntaxError: expected ':',"File ""main.py"", line 1
    def add(a, b)
SyntaxError: expected ':'",Syntax Error,MEDIUM,Missing colon at the end of the function definition line.,"Add a colon after the function signature: def add(a, b):"
174,python,"total = 0
for i in range(1, 10):
    total += i
print(total)",Output is 45 but expected sum 1..10 is 55,,Logic Error,LOW,"range(1, 10) excludes 10, so the loop stops one short.","Use range(1, 11) to include 10 in the sum."
175,typescript,"headers = {'Authorization': f'Bearer {token}'}
resp = requests.get(url, headers=headers)",401 Unauthorized: Invalid or expired token,,Authentication Error,MEDIUM,"The auth token is missing, malformed, or has expired.",Refresh the token before the request and handle 401 by re-authenticating.
176,python,SELECT * FROM orders WHERE customer_id = 123,Query takes 8 seconds on a 10M row table,,Performance Error,HIGH,Missing index on the customer_id column causes a full table scan.,Add an index: CREATE INDEX idx_orders_customer_id ON orders(customer_id).
177,typescript,"age = '25'
next_year = age + 1","TypeError: can only concatenate str (not ""int"") to str","File ""main.py"", line 2, in <module>
TypeError: can only concatenate str (not ""int"") to str",Type Error,LOW,String value used in a numeric operation without conversion.,Convert the input to an integer: next_year = int(age) + 1.
178,typescript,"conn = psycopg2.connect(host='localhost', dbname='app')",OperationalError: could not connect to server,OperationalError: could not connect to server: Connection refused,Database Error,CRITICAL,The database server is not running or the connection details are wrong.,Confirm the DB service is running and connection parameters are correct.
179,typescript,if (user.role === 'admin') { grantAccess(); },Unauthorized users are able to access admin routes,,Authentication Error,CRITICAL,Role check is done only on the client; the server does not verify it.,Enforce role-based access control on the server/API layer as well.
180,java,if (user.role === 'admin') { grantAccess(); },Unauthorized users are able to access admin routes,,Authentication Error,CRITICAL,Role check is done only on the client; the server does not verify it.,Enforce role-based access control on the server/API layer as well.
181,java,SELECT * FROM orders WHERE customer_id = 123,Query takes 8 seconds on a 10M row table,,Performance Error,HIGH,Missing index on the customer_id column causes a full table scan.,Add an index: CREATE INDEX idx_orders_customer_id ON orders(customer_id).
182,javascript,"headers = {'Authorization': f'Bearer {token}'}
resp = requests.get(url, headers=headers)",401 Unauthorized: Invalid or expired token,,Authentication Error,MEDIUM,"The auth token is missing, malformed, or has expired.",Refresh the token before the request and handle 401 by re-authenticating.
183,javascript,"for item in large_list:
    if item in another_large_list:
        process(item)","No crash, but function takes 40+ seconds for 100k items",,Performance Error,HIGH,"Using 'in' on a list results in O(n) lookup, causing O(n*m) overall complexity.",Convert another_large_list to a set for O(1) average lookup time.
184,java,fetch('/api/users').then(r => r.json()),TypeError: Failed to fetch,"TypeError: Failed to fetch
    at fetchUsers",API Error,HIGH,"The API endpoint is unreachable, possibly due to CORS or the server being down.",Verify the server is running and CORS headers are correctly configured.
185,javascript,"obj = None
obj.doSomething();",TypeError: Cannot read properties of null (reading 'doSomething'),"TypeError: Cannot read properties of null
    at Object.<anonymous>",Runtime Error,CRITICAL,Calling a method on a null/undefined object reference.,Add a null check before calling obj.doSomething().
186,java,"obj = None
obj.doSomething();",TypeError: Cannot read properties of null (reading 'doSomething'),"TypeError: Cannot read properties of null
    at Object.<anonymous>",Runtime Error,CRITICAL,Calling a method on a null/undefined object reference.,Add a null check before calling obj.doSomething().
187,javascript,fetch('/api/users').then(r => r.json()),TypeError: Failed to fetch,"TypeError: Failed to fetch
    at fetchUsers",API Error,CRITICAL,"The API endpoint is unreachable, possibly due to CORS or the server being down.",Verify the server is running and CORS headers are correctly configured.
188,java,DEBUG = os.environ['DEBUG'],KeyError: 'DEBUG',"File ""settings.py"", line 1, in <module>
KeyError: 'DEBUG'",Configuration Error,MEDIUM,Required environment variable DEBUG is not set.,"Use os.environ.get('DEBUG', 'False') with a sane default."
189,python,"total = 0
for i in range(1, 10):
    total += i
print(total)",Output is 45 but expected sum 1..10 is 55,,Logic Error,MEDIUM,"range(1, 10) excludes 10, so the loop stops one short.","Use range(1, 11) to include 10 in the sum."
190,typescript,"for i in range(10)
    print(i)",SyntaxError: expected ':',"File ""loop.py"", line 1
SyntaxError: expected ':'",Syntax Error,LOW,The for-loop header is missing a trailing colon.,Add a colon: for i in range(10):
191,javascript,"function isAdult(age) {
  return age > 18;
}",isAdult(18) returns false but should return true,,Logic Error,MEDIUM,Boundary condition uses '>' instead of '>=' for age 18.,Change the comparison to age >= 18.
192,java,if (user.role === 'admin') { grantAccess(); },Unauthorized users are able to access admin routes,,Authentication Error,CRITICAL,Role check is done only on the client; the server does not verify it.,Enforce role-based access control on the server/API layer as well.
193,java,"age = '25'
next_year = age + 1","TypeError: can only concatenate str (not ""int"") to str","File ""main.py"", line 2, in <module>
TypeError: can only concatenate str (not ""int"") to str",Type Error,MEDIUM,String value used in a numeric operation without conversion.,Convert the input to an integer: next_year = int(age) + 1.
194,python,let total = '5' * 'a';,"Result is NaN instead of throwing, causing downstream failures",,Type Error,MEDIUM,Multiplying a numeric string by a non-numeric string yields NaN silently.,Validate and parse inputs with Number() before arithmetic.
195,javascript,SELECT * FROM orders WHERE customer_id = 123,Query takes 8 seconds on a 10M row table,,Performance Error,HIGH,Missing index on the customer_id column causes a full table scan.,Add an index: CREATE INDEX idx_orders_customer_id ON orders(customer_id).
196,python,"headers = {'Authorization': f'Bearer {token}'}
resp = requests.get(url, headers=headers)",401 Unauthorized: Invalid or expired token,,Authentication Error,MEDIUM,"The auth token is missing, malformed, or has expired.",Refresh the token before the request and handle 401 by re-authenticating.
197,java,"for item in large_list:
    if item in another_large_list:
        process(item)","No crash, but function takes 40+ seconds for 100k items",,Performance Error,MEDIUM,"Using 'in' on a list results in O(n) lookup, causing O(n*m) overall complexity.",Convert another_large_list to a set for O(1) average lookup time.
198,typescript,DEBUG = os.environ['DEBUG'],KeyError: 'DEBUG',"File ""settings.py"", line 1, in <module>
KeyError: 'DEBUG'",Configuration Error,MEDIUM,Required environment variable DEBUG is not set.,"Use os.environ.get('DEBUG', 'False') with a sane default."
199,javascript,"x = 10
y = 0
print(x / y)",ZeroDivisionError: division by zero,"File ""main.py"", line 3, in <module>
    print(x / y)
ZeroDivisionError: division by zero",Runtime Error,HIGH,Dividing a number by a variable that is zero at runtime.,Check the denominator for zero before dividing.
200,java,if (user.role === 'admin') { grantAccess(); },Unauthorized users are able to access admin routes,,Authentication Error,CRITICAL,Role check is done only on the client; the server does not verify it.,Enforce role-based access control on the server/API layer as well.
201,python,"obj = None
obj.doSomething();",TypeError: Cannot read properties of null (reading 'doSomething'),"TypeError: Cannot read properties of null
    at Object.<anonymous>",Runtime Error,HIGH,Calling a method on a null/undefined object reference.,Add a null check before calling obj.doSomething().
202,java,fetch('/api/users').then(r => r.json()),TypeError: Failed to fetch,"TypeError: Failed to fetch
    at fetchUsers",API Error,CRITICAL,"The API endpoint is unreachable, possibly due to CORS or the server being down.",Verify the server is running and CORS headers are correctly configured.
203,java,"response = requests.get('https://api.example.com/data')
print(response.json())",requests.exceptions.JSONDecodeError: Expecting value,"File ""main.py"", line 2, in <module>
JSONDecodeError: Expecting value",API Error,HIGH,"The API returned a non-JSON (e.g. HTML error) response, likely due to a bad endpoint or auth failure.","Check response.status_code before parsing, and verify the endpoint/auth."
204,java,"x = 10
y = 0
print(x / y)",ZeroDivisionError: division by zero,"File ""main.py"", line 3, in <module>
    print(x / y)
ZeroDivisionError: division by zero",Runtime Error,MEDIUM,Dividing a number by a variable that is zero at runtime.,Check the denominator for zero before dividing.
205,typescript,"if (x > 5 {
  console.log('big');
}",SyntaxError: missing ) after condition,"SyntaxError: missing ) after condition
    at Object.compileFunction",Syntax Error,LOW,The if-condition is missing a closing parenthesis.,Close the condition properly: if (x > 5) {
206,python,"for i in range(10)
    print(i)",SyntaxError: expected ':',"File ""loop.py"", line 1
SyntaxError: expected ':'",Syntax Error,LOW,The for-loop header is missing a trailing colon.,Add a colon: for i in range(10):
207,javascript,import { useState } from 'react';,Module not found: Error: Can't resolve 'react',Module not found: Error: Can't resolve 'react' in '/src',Import/Dependency Error,HIGH,The react package is missing from node_modules.,Run: npm install react react-dom.
208,typescript,DATABASE_URL = 'postgres://localhost/dev_db',Production app fails: connects to dev database instead of prod,,Configuration Error,CRITICAL,Hard-coded configuration value not overridden per environment.,Load DATABASE_URL from environment-specific config/secret manager.
209,javascript,let total = '5' * 'a';,"Result is NaN instead of throwing, causing downstream failures",,Type Error,MEDIUM,Multiplying a numeric string by a non-numeric string yields NaN silently.,Validate and parse inputs with Number() before arithmetic.
210,javascript,"arr = [1, 2, 3]
print(arr[5])",IndexError: list index out of range,"File ""main.py"", line 2, in <module>
    print(arr[5])
IndexError: list index out of range",Runtime Error,HIGH,Accessing an index beyond the length of the list.,"Add a bounds check before indexing, e.g. if len(arr) > 5."
211,javascript,"def is_even(n):
    return n % 2 == 1","No exception, but is_even(4) returns False incorrectly",,Logic Error,LOW,The modulo condition is inverted; it checks for odd instead of even.,Change the condition to n % 2 == 0.
212,python,"for i in range(10)
    print(i)",SyntaxError: expected ':',"File ""loop.py"", line 1
SyntaxError: expected ':'",Syntax Error,LOW,The for-loop header is missing a trailing colon.,Add a colon: for i in range(10):
213,java,cursor.execute('SELECT * FROM users WHERE id = ' + user_id),psycopg2.errors.SyntaxError: syntax error at or near ...,psycopg2.errors.SyntaxError: syntax error at or near,Database Error,HIGH,Unsanitized string concatenation used to build the SQL query.,"Use parameterized queries: cursor.execute('SELECT * FROM users WHERE id = %s', (user_id,))."
214,python,"total = 0
for i in range(1, 10):
    total += i
print(total)",Output is 45 but expected sum 1..10 is 55,,Logic Error,LOW,"range(1, 10) excludes 10, so the loop stops one short.","Use range(1, 11) to include 10 in the sum."
215,python,"x = 10
y = 0
print(x / y)",ZeroDivisionError: division by zero,"File ""main.py"", line 3, in <module>
    print(x / y)
ZeroDivisionError: division by zero",Runtime Error,MEDIUM,Dividing a number by a variable that is zero at runtime.,Check the denominator for zero before dividing.
216,python,"function isAdult(age) {
  return age > 18;
}",isAdult(18) returns false but should return true,,Logic Error,MEDIUM,Boundary condition uses '>' instead of '>=' for age 18.,Change the comparison to age >= 18.
217,typescript,"function isAdult(age) {
  return age > 18;
}",isAdult(18) returns false but should return true,,Logic Error,MEDIUM,Boundary condition uses '>' instead of '>=' for age 18.,Change the comparison to age >= 18.
218,typescript,"headers = {'Authorization': f'Bearer {token}'}
resp = requests.get(url, headers=headers)",401 Unauthorized: Invalid or expired token,,Authentication Error,MEDIUM,"The auth token is missing, malformed, or has expired.",Refresh the token before the request and handle 401 by re-authenticating.
219,java,"total = 0
for i in range(1, 10):
    total += i
print(total)",Output is 45 but expected sum 1..10 is 55,,Logic Error,LOW,"range(1, 10) excludes 10, so the loop stops one short.","Use range(1, 11) to include 10 in the sum."
220,javascript,"x = 10
y = 0
print(x / y)",ZeroDivisionError: division by zero,"File ""main.py"", line 3, in <module>
    print(x / y)
ZeroDivisionError: division by zero",Runtime Error,HIGH,Dividing a number by a variable that is zero at runtime.,Check the denominator for zero before dividing.
221,java,import { useState } from 'react';,Module not found: Error: Can't resolve 'react',Module not found: Error: Can't resolve 'react' in '/src',Import/Dependency Error,MEDIUM,The react package is missing from node_modules.,Run: npm install react react-dom.
222,typescript,"function isAdult(age) {
  return age > 18;
}",isAdult(18) returns false but should return true,,Logic Error,MEDIUM,Boundary condition uses '>' instead of '>=' for age 18.,Change the comparison to age >= 18.
223,python,"x = 10
y = 0
print(x / y)",ZeroDivisionError: division by zero,"File ""main.py"", line 3, in <module>
    print(x / y)
ZeroDivisionError: division by zero",Runtime Error,MEDIUM,Dividing a number by a variable that is zero at runtime.,Check the denominator for zero before dividing.
224,java,import { useState } from 'react';,Module not found: Error: Can't resolve 'react',Module not found: Error: Can't resolve 'react' in '/src',Import/Dependency Error,MEDIUM,The react package is missing from node_modules.,Run: npm install react react-dom.
225,python,"function isAdult(age) {
  return age > 18;
}",isAdult(18) returns false but should return true,,Logic Error,MEDIUM,Boundary condition uses '>' instead of '>=' for age 18.,Change the comparison to age >= 18.
226,java,"for i in range(10)
    print(i)",SyntaxError: expected ':',"File ""loop.py"", line 1
SyntaxError: expected ':'",Syntax Error,LOW,The for-loop header is missing a trailing colon.,Add a colon: for i in range(10):
227,javascript,fetch('/api/users').then(r => r.json()),TypeError: Failed to fetch,"TypeError: Failed to fetch
    at fetchUsers",API Error,CRITICAL,"The API endpoint is unreachable, possibly due to CORS or the server being down.",Verify the server is running and CORS headers are correctly configured.
228,python,"headers = {'Authorization': f'Bearer {token}'}
resp = requests.get(url, headers=headers)",401 Unauthorized: Invalid or expired token,,Authentication Error,HIGH,"The auth token is missing, malformed, or has expired.",Refresh the token before the request and handle 401 by re-authenticating.
229,java,"for item in large_list:
    if item in another_large_list:
        process(item)","No crash, but function takes 40+ seconds for 100k items",,Performance Error,MEDIUM,"Using 'in' on a list results in O(n) lookup, causing O(n*m) overall complexity.",Convert another_large_list to a set for O(1) average lookup time.
230,typescript,SELECT * FROM orders WHERE customer_id = 123,Query takes 8 seconds on a 10M row table,,Performance Error,MEDIUM,Missing index on the customer_id column causes a full table scan.,Add an index: CREATE INDEX idx_orders_customer_id ON orders(customer_id).
231,typescript,"if (x > 5 {
  console.log('big');
}",SyntaxError: missing ) after condition,"SyntaxError: missing ) after condition
    at Object.compileFunction",Syntax Error,LOW,The if-condition is missing a closing parenthesis.,Close the condition properly: if (x > 5) {
232,python,fetch('/api/users').then(r => r.json()),TypeError: Failed to fetch,"TypeError: Failed to fetch
    at fetchUsers",API Error,CRITICAL,"The API endpoint is unreachable, possibly due to CORS or the server being down.",Verify the server is running and CORS headers are correctly configured.
233,javascript,"arr = [1, 2, 3]
print(arr[5])",IndexError: list index out of range,"File ""main.py"", line 2, in <module>
    print(arr[5])
IndexError: list index out of range",Runtime Error,MEDIUM,Accessing an index beyond the length of the list.,"Add a bounds check before indexing, e.g. if len(arr) > 5."
234,typescript,"if (x > 5 {
  console.log('big');
}",SyntaxError: missing ) after condition,"SyntaxError: missing ) after condition
    at Object.compileFunction",Syntax Error,LOW,The if-condition is missing a closing parenthesis.,Close the condition properly: if (x > 5) {
235,javascript,DATABASE_URL = 'postgres://localhost/dev_db',Production app fails: connects to dev database instead of prod,,Configuration Error,CRITICAL,Hard-coded configuration value not overridden per environment.,Load DATABASE_URL from environment-specific config/secret manager.
236,java,DATABASE_URL = 'postgres://localhost/dev_db',Production app fails: connects to dev database instead of prod,,Configuration Error,CRITICAL,Hard-coded configuration value not overridden per environment.,Load DATABASE_URL from environment-specific config/secret manager.
237,python,"def add(a, b)
    return a + b",SyntaxError: expected ':',"File ""main.py"", line 1
    def add(a, b)
SyntaxError: expected ':'",Syntax Error,LOW,Missing colon at the end of the function definition line.,"Add a colon after the function signature: def add(a, b):"
